(22, 1696846230002, 9, 10, 2023, 0, Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.120000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(23, 1696846231002, 9, 10, 2023, 0, Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.120000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(24, 1696846232001, 9, 10, 2023, 0, Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.120000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(25, 1696846233001, 9, 10, 2023, 0, Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.120000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(26, 1696846234001, 9, 10, 2023, 0, Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.120000000000'), 0, Decimal('0.0'), Decimal('27569.66'), Decimal('27569.66'), Decimal('27569.66'), Decimal('27569.66'), Decimal('27569.660000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(27, 1696846235001, 9, 10, 2023, 0, Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.12'), Decimal('26199.120000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(28, 1696846236002, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26191.15'), Decimal('26196.39'), Decimal('26191.15'), Decimal('26196.390000000000'), 2, Decimal('0.00573'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(29, 1696846237001, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(30, 1696846238002, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(31, 1696846239002, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(32, 1696846240002, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), Decimal('0.0'), 0, Decimal('0.0'))
(33, 1696846241001, 9, 10, 2023, 0, Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.39'), Decimal('26196.390000000000'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), 0, Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0.0'), Decimal('0'), Decimal('0.0'), 0, Decimal('0.0'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.08'), Decimal('27566.080000000000'), 0, Decimal('0.0'))
